[2026-07-24T01:09:33.050Z] GET http://127.0.0.1:59191/welcome → 200 (1ms, 8951B)
[2026-07-24T01:09:33.067Z] GET https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;600&family=JetBrains+Mono:wght@400;500&display=swap → pending (?ms, ?B)
[2026-07-24T01:09:33.067Z] GET https://api.fontshare.com/v2/css?f[]=satoshi@700,900&display=swap → pending (?ms, ?B)
[2026-07-24T01:09:33.224Z] GET http://localhost:8791/starlit-night-sky/?seed=moond&cb=84298 → 200 (23ms, 4243B)
[2026-07-24T01:09:33.255Z] GET http://localhost:8791/starlit-night-sky/src/main.js → 200 (16ms, ?B)
[2026-07-24T01:09:33.272Z] GET https://unpkg.com/three@0.185.1/build/three.module.js → 200 (15ms, -747B)
[2026-07-24T01:09:33.272Z] GET https://unpkg.com/three@0.185.1/examples/jsm/controls/OrbitControls.js → 200 (2ms, -747B)
[2026-07-24T01:09:33.272Z] GET http://localhost:8791/starlit-night-sky/src/world.js → 200 (11ms, 2533B)
[2026-07-24T01:09:33.272Z] GET http://localhost:8791/starlit-night-sky/src/post.js → 200 (4ms, ?B)
[2026-07-24T01:09:33.272Z] GET http://localhost:8791/starlit-night-sky/src/rng.js → 200 (4ms, ?B)
[2026-07-24T01:09:33.276Z] GET https://unpkg.com/three@0.185.1/examples/jsm/postprocessing/EffectComposer.js → 200 (6ms, -747B)
[2026-07-24T01:09:33.276Z] GET https://unpkg.com/three@0.185.1/examples/jsm/postprocessing/RenderPass.js → 200 (5ms, -747B)
[2026-07-24T01:09:33.276Z] GET https://unpkg.com/three@0.185.1/examples/jsm/postprocessing/UnrealBloomPass.js → 200 (9ms, -747B)
[2026-07-24T01:09:33.276Z] GET https://unpkg.com/three@0.185.1/examples/jsm/postprocessing/ShaderPass.js → 200 (9ms, -747B)
[2026-07-24T01:09:33.276Z] GET https://unpkg.com/three@0.185.1/examples/jsm/postprocessing/OutputPass.js → 200 (10ms, -747B)
[2026-07-24T01:09:33.283Z] GET https://unpkg.com/three@0.185.1/examples/jsm/postprocessing/Pass.js → 200 (4ms, -747B)
[2026-07-24T01:09:33.283Z] GET https://unpkg.com/three@0.185.1/examples/jsm/shaders/CopyShader.js → 200 (3ms, -747B)
[2026-07-24T01:09:33.283Z] GET https://unpkg.com/three@0.185.1/examples/jsm/postprocessing/MaskPass.js → 200 (4ms, -747B)
[2026-07-24T01:09:33.284Z] GET http://localhost:8791/starlit-night-sky/src/sky.js → 200 (5ms, ?B)
[2026-07-24T01:09:33.284Z] GET http://localhost:8791/starlit-night-sky/src/terrain.js → 200 (5ms, ?B)
[2026-07-24T01:09:33.284Z] GET http://localhost:8791/starlit-night-sky/src/aurora.js → 200 (6ms, ?B)
[2026-07-24T01:09:33.284Z] GET http://localhost:8791/starlit-night-sky/src/meteors.js → 200 (9ms, ?B)
[2026-07-24T01:09:33.284Z] GET http://localhost:8791/starlit-night-sky/src/stars.js → 200 (10ms, ?B)
[2026-07-24T01:09:33.284Z] GET http://localhost:8791/starlit-night-sky/src/milkyway.js → 200 (7ms, ?B)
[2026-07-24T01:09:33.285Z] GET http://localhost:8791/starlit-night-sky/src/moon.js → 200 (6ms, ?B)
[2026-07-24T01:09:33.286Z] GET https://unpkg.com/three@0.185.1/examples/jsm/shaders/LuminosityHighPassShader.js → 200 (1ms, -747B)
[2026-07-24T01:09:33.287Z] GET https://unpkg.com/three@0.185.1/examples/jsm/shaders/OutputShader.js → 200 (1ms, -747B)
[2026-07-24T01:09:33.288Z] GET https://unpkg.com/three@0.185.1/build/three.core.js → 200 (11ms, -792B)
[2026-07-24T01:09:33.289Z] GET http://localhost:8791/starlit-night-sky/src/glsl.js → 200 (2ms, -193B)
